Matchname,Half,Time,Player1Name,Player1ClubName,XPos,Ypos
Manchester City v Liverpool,First Half,0.00,David SILVA,Manchester City,-4.24,-15.28
Manchester City v Liverpool,First Half,0.10,David SILVA,Manchester City,-4.30,-15.19
Manchester City v Liverpool,First Half,0.20,David SILVA,Manchester City,-4.36,-15.10
Manchester City v Liverpool,First Half,0.30,David SILVA,Manchester City,-4.42,-15.00
Manchester City v Liverpool,First Half,0.40,David SILVA,Manchester City,-4.48,-14.91
Manchester City v Liverpool,First Half,0.50,David SILVA,Manchester City,-4.53,-14.82
Manchester City v Liverpool,First Half,0.60,David SILVA,Manchester City,-4.59,-14.73
Manchester City v Liverpool,First Half,0.70,David SILVA,Manchester City,-4.65,-14.64
Manchester City v Liverpool,First Half,0.80,David SILVA,Manchester City,-4.71,-14.55
Manchester City v Liverpool,First Half,0.90,David SILVA,Manchester City,-4.77,-14.45
Manchester City v Liverpool,First Half,1.00,David SILVA,Manchester City,-4.83,-14.36
Manchester City v Liverpool,First Half,1.10,David SILVA,Manchester City,-4.89,-14.27
Manchester City v Liverpool,First Half,1.20,David SILVA,Manchester City,-4.95,-14.18
Manchester City v Liverpool,First Half,1.30,David SILVA,Manchester City,-5.01,-14.09
Manchester City v Liverpool,First Half,1.40,David SILVA,Manchester City,-5.06,-14.00
Manchester City v Liverpool,First Half,1.50,David SILVA,Manchester City,-5.10,-13.92
Manchester City v Liverpool,First Half,1.60,David SILVA,Manchester City,-5.14,-13.84
Manchester City v Liverpool,First Half,1.70,David SILVA,Manchester City,-5.17,-13.77
Manchester City v Liverpool,First Half,1.80,David SILVA,Manchester City,-5.18,-13.70
Manchester City v Liverpool,First Half,1.90,David SILVA,Manchester City,-5.19,-13.64
Manchester City v Liverpool,First Half,2.00,David SILVA,Manchester City,-5.19,-13.58
Manchester City v Liverpool,First Half,2.10,David SILVA,Manchester City,-5.19,-13.53
Manchester City v Liverpool,First Half,2.20,David SILVA,Manchester City,-5.19,-13.48
Manchester City v Liverpool,First Half,2.30,David SILVA,Manchester City,-5.18,-13.42
Manchester City v Liverpool,First Half,2.40,David SILVA,Manchester City,-5.17,-13.37
Manchester City v Liverpool,First Half,2.50,David SILVA,Manchester City,-5.16,-13.32
Manchester City v Liverpool,First Half,2.60,David SILVA,Manchester City,-5.15,-13.28
Manchester City v Liverpool,First Half,2.70,David SILVA,Manchester City,-5.13,-13.23
Manchester City v Liverpool,First Half,2.80,David SILVA,Manchester City,-5.12,-13.18
Manchester City v Liverpool,First Half,2.90,David SILVA,Manchester City,-5.10,-13.13
Manchester City v Liverpool,First Half,3.00,David SILVA,Manchester City,-5.09,-13.09
Manchester City v Liverpool,First Half,3.10,David SILVA,Manchester City,-5.07,-13.04
Manchester City v Liverpool,First Half,3.20,David SILVA,Manchester City,-5.05,-13.00
