,Team,P,W,D,L,GF,GA,GD,Season,League,PTS,PPG
0,Liverpool,38,32,3,3,85,33,52,2019,England-Premier-League,99,2.6052631578947367
1,Manchester City,38,26,3,9,102,35,67,2019,England-Premier-League,81,2.1315789473684212
2,Manchester United,38,18,12,8,66,36,30,2019,England-Premier-League,66,1.736842105263158
3,Chelsea,38,20,6,12,69,54,15,2019,England-Premier-League,66,1.736842105263158
4,Leicester,38,18,8,12,67,41,26,2019,England-Premier-League,62,1.631578947368421
5,Tottenham,38,16,11,11,61,47,14,2019,England-Premier-League,59,1.5526315789473684
6,Wolverhampton Wanderers,38,15,14,9,51,40,11,2019,England-Premier-League,59,1.5526315789473684
7,Arsenal,38,14,14,10,56,48,8,2019,England-Premier-League,56,1.4736842105263157
8,Sheffield United,38,14,12,12,39,39,0,2019,England-Premier-League,54,1.4210526315789473
9,Burnley,38,15,9,14,43,50,-7,2019,England-Premier-League,54,1.4210526315789473
10,Southampton,38,15,7,16,51,60,-9,2019,England-Premier-League,52,1.368421052631579
11,Everton,38,13,10,15,44,56,-12,2019,England-Premier-League,49,1.2894736842105263
12,Newcastle United,38,11,11,16,38,58,-20,2019,England-Premier-League,44,1.1578947368421053
13,Crystal Palace,38,11,10,17,31,50,-19,2019,England-Premier-League,43,1.131578947368421
14,Brighton,38,9,14,15,39,54,-15,2019,England-Premier-League,41,1.0789473684210527
15,West Ham,38,10,9,19,49,62,-13,2019,England-Premier-League,39,1.0263157894736843
16,Aston Villa,38,9,8,21,41,67,-26,2019,England-Premier-League,35,0.9210526315789473
17,Bournemouth,38,9,7,22,40,65,-25,2019,England-Premier-League,34,0.8947368421052632
18,Watford,38,8,10,20,36,64,-28,2019,England-Premier-League,34,0.8947368421052632
19,Norwich,38,5,6,27,26,75,-49,2019,England-Premier-League,21,0.5526315789473685
20,Manchester City,38,32,2,4,95,23,72,2018,England-Premier-League,98,2.5789473684210527
21,Liverpool,38,30,7,1,89,22,67,2018,England-Premier-League,97,2.5526315789473686
22,Chelsea,38,21,9,8,63,39,24,2018,England-Premier-League,72,1.894736842105263
23,Tottenham,38,23,2,13,67,39,28,2018,England-Premier-League,71,1.868421052631579
24,Arsenal,38,21,7,10,73,51,22,2018,England-Premier-League,70,1.8421052631578947
25,Manchester United,38,19,9,10,65,54,11,2018,England-Premier-League,66,1.736842105263158
26,Wolverhampton Wanderers,38,16,9,13,47,46,1,2018,England-Premier-League,57,1.5
27,Everton,38,15,9,14,54,46,8,2018,England-Premier-League,54,1.4210526315789473
28,Leicester,38,15,7,16,51,48,3,2018,England-Premier-League,52,1.368421052631579
29,West Ham,38,15,7,16,52,55,-3,2018,England-Premier-League,52,1.368421052631579
30,Watford,38,14,8,16,52,59,-7,2018,England-Premier-League,50,1.3157894736842106
31,Crystal Palace,38,14,7,17,51,53,-2,2018,England-Premier-League,49,1.2894736842105263
32,Newcastle United,38,12,9,17,42,48,-6,2018,England-Premier-League,45,1.1842105263157894
33,Bournemouth,38,13,6,19,56,70,-14,2018,England-Premier-League,45,1.1842105263157894
34,Burnley,38,11,7,20,45,68,-23,2018,England-Premier-League,40,1.0526315789473684
35,Southampton,38,9,12,17,45,65,-20,2018,England-Premier-League,39,1.0263157894736843
36,Brighton,38,9,9,20,35,60,-25,2018,England-Premier-League,36,0.9473684210526315
37,Cardiff,38,10,4,24,34,69,-35,2018,England-Premier-League,34,0.8947368421052632
38,Fulham,38,7,5,26,34,81,-47,2018,England-Premier-League,26,0.6842105263157895
39,Huddersfield,38,3,7,28,22,76,-54,2018,England-Premier-League,16,0.42105263157894735
40,Manchester City,38,32,4,2,106,27,79,2017,England-Premier-League,100,2.6315789473684212
41,Manchester United,38,25,6,7,68,28,40,2017,England-Premier-League,81,2.1315789473684212
42,Tottenham,38,23,8,7,74,36,38,2017,England-Premier-League,77,2.026315789473684
43,Liverpool,38,21,12,5,84,38,46,2017,England-Premier-League,75,1.9736842105263157
44,Chelsea,38,21,7,10,62,38,24,2017,England-Premier-League,70,1.8421052631578947
45,Arsenal,38,19,6,13,74,51,23,2017,England-Premier-League,63,1.6578947368421053
46,Burnley,38,14,12,12,36,39,-3,2017,England-Premier-League,54,1.4210526315789473
47,Everton,38,13,10,15,44,58,-14,2017,England-Premier-League,49,1.2894736842105263
48,Leicester,38,12,11,15,56,60,-4,2017,England-Premier-League,47,1.236842105263158
49,Newcastle United,38,12,8,18,39,47,-8,2017,England-Premier-League,44,1.1578947368421053
50,Crystal Palace,38,11,11,16,45,55,-10,2017,England-Premier-League,44,1.1578947368421053
51,Bournemouth,38,11,11,16,45,61,-16,2017,England-Premier-League,44,1.1578947368421053
52,West Ham,38,10,12,16,48,68,-20,2017,England-Premier-League,42,1.105263157894737
53,Watford,38,11,8,19,44,64,-20,2017,England-Premier-League,41,1.0789473684210527
54,Brighton,38,9,13,16,34,54,-20,2017,England-Premier-League,40,1.0526315789473684
55,Huddersfield,38,9,10,19,28,58,-30,2017,England-Premier-League,37,0.9736842105263158
56,Southampton,38,7,15,16,37,56,-19,2017,England-Premier-League,36,0.9473684210526315
57,Swansea,38,8,9,21,28,56,-28,2017,England-Premier-League,33,0.868421052631579
58,Stoke,38,7,12,19,35,68,-33,2017,England-Premier-League,33,0.868421052631579
59,West Bromwich Albion,38,6,13,19,31,56,-25,2017,England-Premier-League,31,0.8157894736842105
60,Chelsea,38,30,3,5,85,33,52,2016,England-Premier-League,93,2.4473684210526314
61,Tottenham,38,26,8,4,86,26,60,2016,England-Premier-League,86,2.263157894736842
62,Manchester City,38,23,9,6,80,39,41,2016,England-Premier-League,78,2.0526315789473686
63,Liverpool,38,22,10,6,78,42,36,2016,England-Premier-League,76,2.0
64,Arsenal,38,23,6,9,77,44,33,2016,England-Premier-League,75,1.9736842105263157
65,Manchester United,38,18,15,5,54,29,25,2016,England-Premier-League,69,1.8157894736842106
66,Everton,38,17,10,11,62,44,18,2016,England-Premier-League,61,1.605263157894737
67,Southampton,38,12,10,16,41,48,-7,2016,England-Premier-League,46,1.2105263157894737
68,Bournemouth,38,12,10,16,55,67,-12,2016,England-Premier-League,46,1.2105263157894737
69,West Bromwich Albion,38,12,9,17,43,51,-8,2016,England-Premier-League,45,1.1842105263157894
70,West Ham,38,12,9,17,47,64,-17,2016,England-Premier-League,45,1.1842105263157894
71,Leicester,38,12,8,18,48,63,-15,2016,England-Premier-League,44,1.1578947368421053
72,Stoke,38,11,11,16,41,56,-15,2016,England-Premier-League,44,1.1578947368421053
